variant_id,device,probe_role,threshold,level,observed_crossing_K,predicted_crossing_K,crossing_status,non_crossing_retained
FI,AS006,primary,T50,0.5,0.131003401702494,NaN,observed_cross_predicted_no_cross,1
FI,AS006,primary,T10,0.1,NaN,NaN,crossing_ambiguous,1
FI,AS006,secondary,T90,0.9,0.251268566586107,NaN,observed_cross_predicted_no_cross,1
FI,AS006,secondary,T50,0.5,0.137769554984506,NaN,observed_cross_predicted_no_cross,1
FI,AS006,secondary,T10,0.1,NaN,NaN,crossing_ambiguous,1
FBI,AS001,primary,T90,0.9,NaN,NaN,neither_crosses,1
FBI,AS001,primary,T50,0.5,NaN,NaN,neither_crosses,1
FBI,AS001,primary,T10,0.1,NaN,NaN,neither_crosses,1
FBI,AS001,secondary,T90,0.9,NaN,NaN,neither_crosses,1
FBI,AS001,secondary,T50,0.5,NaN,NaN,neither_crosses,1
FBI,AS001,secondary,T10,0.1,NaN,NaN,neither_crosses,1
FBI,AS002,primary,T90,0.9,NaN,NaN,neither_crosses,1
FBI,AS002,primary,T50,0.5,NaN,NaN,neither_crosses,1
FBI,AS002,primary,T10,0.1,NaN,0.988870577581181,observed_no_cross_predicted_cross,1
FBI,AS003,primary,T90,0.9,NaN,NaN,crossing_ambiguous,1
FBI,AS003,primary,T50,0.5,NaN,NaN,crossing_ambiguous,1
FBI,AS003,primary,T10,0.1,NaN,NaN,crossing_ambiguous,1
FBI,AS004,primary,T90,0.9,0.28964257619556,NaN,observed_cross_predicted_no_cross,1
FBI,AS004,primary,T50,0.5,0.228018287884999,NaN,observed_cross_predicted_no_cross,1
FBI,AS004,primary,T10,0.1,0.17524274694046,0.221907099948809,both_cross,1
FBI,AS004,secondary,T90,0.9,0.409491992248819,NaN,observed_cross_predicted_no_cross,1
FBI,AS004,secondary,T50,0.5,0.244885944807576,NaN,observed_cross_predicted_no_cross,1
FBI,AS004,secondary,T10,0.1,0.169747702429291,0.221907099948809,both_cross,1
FBI,AS005,primary,T90,0.9,1.4912748622487,4.00794523527365,both_cross,1
FBI,AS005,primary,T50,0.5,0.983134387351779,3.78571677826969,both_cross,1
FBI,AS005,primary,T10,0.1,0.771634931186218,NaN,observed_cross_predicted_no_cross,1
FBI,AS006,primary,T90,0.9,0.325055716144821,NaN,observed_cross_predicted_no_cross,1
FBI,AS006,primary,T50,0.5,0.131003401702494,NaN,observed_cross_predicted_no_cross,1
FBI,AS006,primary,T10,0.1,NaN,0.203525983281006,observed_no_cross_predicted_cross,1
FBI,AS006,secondary,T90,0.9,0.251268566586107,NaN,observed_cross_predicted_no_cross,1
FBI,AS006,secondary,T50,0.5,0.137769554984506,NaN,observed_cross_predicted_no_cross,1
FBI,AS006,secondary,T10,0.1,NaN,0.203525983281006,observed_no_cross_predicted_cross,1
